title,type,price,in_stock,image,size,length,diameter,url,country
Toscano Garibaldi,single,1.4,True,https://www.hacico.de/images/product_images/info_images/8008_0.JPG,,5.91,0.62,https://www.hacico.de/en/Cigars/Sonstige-Herkunft/Toscano/Toscano-Garibaldi.html,Sonstige Herkunft
Toscano Garibaldi,carton-box (5 pcs),6.79,True,https://www.hacico.de/images/product_images/info_images/8008_0.JPG,,5.91,0.62,https://www.hacico.de/en/Cigars/Sonstige-Herkunft/Toscano/Toscano-Garibaldi.html,Sonstige Herkunft
Belgische Jagd Wilde Spriet,box (20 pcs),10.48,True,https://www.hacico.de/images/product_images/info_images/5661_0.JPG,,3.94,0.35,https://www.hacico.de/en/Cigars/Belgium/Belgische-Jagd/Belgische-Jagd-Wilde-Spriet.html,Belgium
J. Cortes Sumatra High Class,alu-tube (1 pc),2.95,True,https://www.hacico.de/images/product_images/info_images/1936_0.JPG,,5.04,0.59,https://www.hacico.de/en/Cigars/Belgium/J-CortAs-Sumatra/J-Cortes-Sumatra-High-Class.html,Belgium
J. Cortes Sumatra High Class,box (2 pcs),5.72,True,https://www.hacico.de/images/product_images/info_images/1936_0.JPG,,5.04,0.59,https://www.hacico.de/en/Cigars/Belgium/J-CortAs-Sumatra/J-Cortes-Sumatra-High-Class.html,Belgium
J. Cortes Sumatra High Class,box (10 alu-tubes),28.61,True,https://www.hacico.de/images/product_images/info_images/1936_0.JPG,,5.04,0.59,https://www.hacico.de/en/Cigars/Belgium/J-CortAs-Sumatra/J-Cortes-Sumatra-High-Class.html,Belgium
J. Cortes Sumatra Club,carton-box (5 pcs),6.3,True,https://www.hacico.de/images/product_images/info_images/1937_0.jpg,,4.53,0.47,https://www.hacico.de/en/Cigars/Belgium/J-CortAs-Sumatra/J-Cortes-Sumatra-Club.html,Belgium
J. Cortes Sumatra Classic,carton-box (5 pcs),4.85,True,https://www.hacico.de/images/product_images/info_images/1938_0.jpg,,4.29,0.39,https://www.hacico.de/en/Cigars/Belgium/J-CortAs-Sumatra/J-Cortes-Sumatra-Classic.html,Belgium
Kasteelheer Wilde Spriet,single,0.45,True,https://www.hacico.de/images/product_images/info_images/317_0.JPG,,4.06,0.35,https://www.hacico.de/en/Cigars/Belgium/Kasteelheer/Kasteelheer-Wilde-Spriet.html,Belgium
Kasteelheer Wilde Spriet,box (50 pcs),21.82,True,https://www.hacico.de/images/product_images/info_images/317_0.JPG,,4.06,0.35,https://www.hacico.de/en/Cigars/Belgium/Kasteelheer/Kasteelheer-Wilde-Spriet.html,Belgium
Alonso Menendez Nr. 10,single,4.8,True,https://www.hacico.de/images/product_images/info_images/282_0.JPG,['Lonsdale'],6.38,0.67,https://www.hacico.de/en/Cigars/Brazil/Alonso-Menendez/Alonso-Menendez-Nr-10.html,Brazil
Alonso Menendez Nr. 10,box (25 pcs),116.4,True,https://www.hacico.de/images/product_images/info_images/282_0.JPG,['Lonsdale'],6.38,0.67,https://www.hacico.de/en/Cigars/Brazil/Alonso-Menendez/Alonso-Menendez-Nr-10.html,Brazil
